,Program Name,Sponsor,Borough,Zipcode,Phone,Location 1,latLon,Lat,Lon
0,A PHILIP RANDOLPH SENIOR CENTER,UNITED BLOCK ASSOCIATION INC,MANHATTAN,10039,212-283-7904,"108 146TH STREET
MANHATTAN, NY 10039
(40.82123477265024, -73.93611928704553)","40.82123477265024, -73.93611928704553",40.82123477265024,-73.93611928704553
1,ABE STARK SENIOR CENTER,BERGEN BASIN COMM DEV CORP/MILLENNIUM DEV CORP,BROOKLYN,11236,718 272-9515,"10315 FARRAGUT ROAD
BROOKLYN, NY 11236
(40.64962602084508, -73.89935633321575)","40.64962602084508, -73.89935633321575",40.64962602084508,-73.89935633321575
2,ALLEN COMMUNITY SENIOR CITIZENS CENTER,ALLEN AME CHURCH/ALLEN COMM SR CENTER,QUEENS,11434,718 658-0980,"166 01 LINDEN BOULEVARD
QUEENS, NY 11434
(40.6769452621142, -73.77530690169215)","40.6769452621142, -73.77530690169215",40.6769452621142,-73.77530690169215
3,ALPHA PHI ALPHA SENIOR CENTER,ALPHA PHI ALPHA SENIOR CITIZENS CENTER INC,QUEENS,11411,718 528-8238,"220 01
QUEENS, NY 11411
(40.694293339066405, -73.73568329125084)","40.694293339066405, -73.73568329125084",40.694293339066405,-73.73568329125084
4,ARC FT WASHINGTON SENIOR CENTER,ARC XVI FORT WASHINGTON INC,MANHATTAN,10033,212-781-5700,"4111 BROADWAY
MANHATTAN, NY 10033
(40.845160338750205, -73.93878884162382)","40.845160338750205, -73.93878884162382",40.845160338750205,-73.93878884162382
5,ARTURO SCHOMBERG SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY,BRONX,10456,718-842-6880,"1315 FRANKLIN AVENUE
BRONX, NY 10456
(40.83227391954567, -73.90150815233032)","40.83227391954567, -73.90150815233032",40.83227391954567,-73.90150815233032
6,ASSOC OF BLACK SOCIAL WORKERS SR CENTER,ASSOCIATION OF BLACK SOCIAL WORKERS INC,MANHATTAN,10025,212-749-8400,"221 107TH STREET
MANHATTAN, NY 10025
(40.80146863587437, -73.96600964199489)","40.80146863587437, -73.96600964199489",40.80146863587437,-73.96600964199489
7,ATLANTIC SENIOR CENTER,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,BROOKLYN,11207,718 345-7994,"70 PENNSYLVANIA AVENUE
BROOKLYN, NY 11207
(40.67631839764981, -73.8970512344147)","40.67631839764981, -73.8970512344147",40.67631839764981,-73.8970512344147
8,BORINQUEN PLAZA NUTRITION PROGRAM,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,BROOKLYN,11206,718 782-6334,"80 SEIGEL STREET
BROOKLYN, NY 11206
(40.70440344958967, -73.94304831382468)","40.70440344958967, -73.94304831382468",40.70440344958967,-73.94304831382468
9,BOULEVARD SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,BROOKLYN,11207,718-272-6202,"726 STANLEY AVENUE
BROOKLYN, NY 11207
(40.66016058397117, -73.88202347082921)","40.66016058397117, -73.88202347082921",40.66016058397117,-73.88202347082921
